Entry,Entry name,Status,Protein names,Gene names,Organism,Length
B2RU82,B2RU82_MOUSE,unreviewed,Solute carrier family 30 member 9 (Zinc transporter 9),Slc30a9,Mus musculus (Mouse),567
A0A1D5RLR4,A0A1D5RLR4_MOUSE,unreviewed,Protein ARV1,Arv1,Mus musculus (Mouse),112
A0A1L1SU69,A0A1L1SU69_MOUSE,unreviewed,Transmembrane emp24 domain-containing protein 1,Tmed1,Mus musculus (Mouse),65
A0A494B9Y3,A0A494B9Y3_MOUSE,unreviewed,Protein YIF1A,Yif1a,Mus musculus (Mouse),284
D3YUR8,D3YUR8_MOUSE,unreviewed,Ergosterol biosynthetic protein 28 homolog (Fragment),Erg28 0610007P14Rik,Mus musculus (Mouse),54
A0A338P6P1,A0A338P6P1_MOUSE,unreviewed,Mannosyltransferase (EC 2.4.1.-),Pigz,Mus musculus (Mouse),64
Q3UW62,Q3UW62_MOUSE,unreviewed,Sphingolipid 4-desaturase (EC 1.14.19.17) (Fragment),9130409I23Rik,Mus musculus (Mouse),341
A0A0A0MQK0,A0A0A0MQK0_MOUSE,unreviewed,Essential for reactive oxygen species protein (Fragment),Cybc1,Mus musculus (Mouse),150
A0A286YCK9,A0A286YCK9_MOUSE,unreviewed,Farnesylated proteins-converting enzyme 2 (Fragment),Rce1,Mus musculus (Mouse),172
E9PUH5,E9PUH5_MOUSE,unreviewed,Erlin-1 (Fragment),Erlin1,Mus musculus (Mouse),158
F7C090,F7C090_MOUSE,unreviewed,Beclin-1 (Beclin-1-C 35 kDa) (Beclin-1-C 37 kDa) (Fragment),Becn1,Mus musculus (Mouse),168
Q8BPI2,Q8BPI2_MOUSE,unreviewed,Transmembrane emp24 domain-containing protein 2 (Fragment),Tmed2,Mus musculus (Mouse),112
Q3TS87,Q3TS87_MOUSE,unreviewed,Sphingolipid 4-desaturase (EC 1.14.19.17),9130409I23Rik,Mus musculus (Mouse),320
Q3U4L3,Q3U4L3_MOUSE,unreviewed,"Endoplasmic reticulum membrane sensor NFE2L1 (Nuclear factor erythroid 2-related factor 1) (Nuclear factor, erythroid derived 2, like 1) (Transcription factor NRF1)",Nfe2l1,Mus musculus (Mouse),741
A0A159AK85,A0A159AK85_MOUSE,unreviewed,Fatty acid desaturase splice variant,Fads3,Mus musculus (Mouse),412
Q3TN84,Q3TN84_MOUSE,unreviewed,Procollagen-proline 4-dioxygenase (EC 1.14.11.2),P4ha1,Mus musculus (Mouse),534
A0A3B2WC92,A0A3B2WC92_MOUSE,unreviewed,Spastin (EC 5.6.1.1),Spast SPAST SPG4,Mus musculus (Mouse),581
A2A7Q5,A2A7Q5_MOUSE,unreviewed,Procollagen-proline 3-dioxygenase (EC 1.14.11.7),P3h1,Mus musculus (Mouse),748
Q3V3M1,Q3V3M1_MOUSE,unreviewed,"Endoplasmic reticulum membrane sensor NFE2L1 (Nuclear factor erythroid 2-related factor 1) (Nuclear factor, erythroid derived 2, like 1) (Transcription factor NRF1)",Nfe2l1,Mus musculus (Mouse),453
Q9CPT1,Q9CPT1_MOUSE,unreviewed,GlcNAc-1-P transferase (EC 2.7.8.15) (N-acetylglucosamine-1-phosphate transferase) (UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase),Dpagt1,Mus musculus (Mouse),301
A2ADU0,A2ADU0_MOUSE,unreviewed,Acyltransferase (EC 2.3.1.-),Awat2 Dgat2l4,Mus musculus (Mouse),333
Q3U5L0,Q3U5L0_MOUSE,unreviewed,"Endoplasmic reticulum membrane sensor NFE2L1 (Nuclear factor erythroid 2-related factor 1) (Nuclear factor, erythroid derived 2, like 1) (Transcription factor NRF1)",Nfe2l1,Mus musculus (Mouse),741
Q7M6W1,Q7M6W1_MOUSE,unreviewed,Reticulon,Rtn1,Mus musculus (Mouse),208
Q14BF8,Q14BF8_MOUSE,unreviewed,Trafficking protein particle complex subunit,Trappc1,Mus musculus (Mouse),145
Q3TEE8,Q3TEE8_MOUSE,unreviewed,Uncharacterized protein,Txndc5,Mus musculus (Mouse),417
Q3TUF3,Q3TUF3_MOUSE,unreviewed,Calumenin,Calu,Mus musculus (Mouse),315
Q548M4,Q548M4_MOUSE,unreviewed,Elongation of very long chain fatty acids protein 1 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL1) (ELOVL fatty acid elongase 1) (ELOVL FA elongase 1) (Very long chain 3-ketoacyl-CoA synthase 1) (Very long chain 3-oxoacyl-CoA synthase 1),Elovl1 ELOVL1 Ssc1,Mus musculus (Mouse),279
Q545R7,Q545R7_MOUSE,unreviewed,Dolichol phosphate-mannose biosynthesis regulatory protein,Dpm2,Mus musculus (Mouse),84
Q3TAA8,Q3TAA8_MOUSE,unreviewed,"Phosphatidylinositol glycan anchor biosynthesis class U protein (Phosphatidylinositol glycan anchor biosynthesis, class U)",Pigu Cdc91l1,Mus musculus (Mouse),435
Q3U9H7,Q3U9H7_MOUSE,unreviewed,GOLD domain-containing protein (Fragment),Tmed2,Mus musculus (Mouse),120
A0A286YCG8,A0A286YCG8_MOUSE,unreviewed,Signal sequence receptor subunit alpha (Translocon-associated protein subunit alpha),Ssr1,Mus musculus (Mouse),318
Q3TFU8,Q3TFU8_MOUSE,unreviewed,GOLD domain-containing protein,Tmed9,Mus musculus (Mouse),269
E0CZ15,E0CZ15_MOUSE,unreviewed,Insulin-induced gene 2 protein (Fragment),Insig2,Mus musculus (Mouse),78
A0A1L1STZ6,A0A1L1STZ6_MOUSE,unreviewed,Transmembrane emp24 domain-containing protein 1 (Fragment),Tmed1,Mus musculus (Mouse),129
A0A0G2JDP0,A0A0G2JDP0_MOUSE,unreviewed,HCLS1-associated protein X-1 (HS1-associating protein X-1),Hax1,Mus musculus (Mouse),277
Q14DR9,Q14DR9_MOUSE,unreviewed,ERO1-like beta (S. cerevisiae),Ero1b Ero1lb,Mus musculus (Mouse),467
Q3TXL0,Q3TXL0_MOUSE,unreviewed,Uncharacterized protein (Fragment),Ero1a Ero1l,Mus musculus (Mouse),222
Q3U738,Q3U738_MOUSE,unreviewed,Protein disulfide-isomerase (EC 5.3.4.1),P4hb,Mus musculus (Mouse),509
Q3UEN8,Q3UEN8_MOUSE,unreviewed,Unspecific monooxygenase (EC 1.14.14.1),Cyp3a11,Mus musculus (Mouse),504
Q3U9T7,Q3U9T7_MOUSE,unreviewed,Transmembrane emp24 domain-containing protein 5,Tmed5,Mus musculus (Mouse),229
Q3TWG2,Q3TWG2_MOUSE,unreviewed,Glucosidase 2 subunit beta (Glucosidase II subunit beta),Prkcsh,Mus musculus (Mouse),521
D3Z2W7,D3Z2W7_MOUSE,unreviewed,Unspecific monooxygenase (EC 1.14.14.1),Cyp3a59,Mus musculus (Mouse),503
Q3TW73,Q3TW73_MOUSE,unreviewed,Transmembrane emp24 domain-containing protein 5,Tmed5,Mus musculus (Mouse),158
Q3TUZ6,Q3TUZ6_MOUSE,unreviewed,Reticulon,Rtn2,Mus musculus (Mouse),204
Q5I940,Q5I940_MOUSE,unreviewed,USE1-like protein (Vesicle transport protein USE1) (Fragment),Use1 Ed2,Mus musculus (Mouse),269
D3Z615,D3Z615_MOUSE,unreviewed,Transmembrane emp24 domain-containing protein 5,Tmed5,Mus musculus (Mouse),96
Q8C1E4,Q8C1E4_MOUSE,unreviewed,Protein transport protein SEC23,Sec23a,Mus musculus (Mouse),765
Q05A20,Q05A20_MOUSE,unreviewed,Hydroperoxy icosatetraenoate dehydratase (EC 1.14.14.1) (EC 4.2.1.152),Cyp1a1,Mus musculus (Mouse),524
Q80SV6,Q80SV6_MOUSE,unreviewed,Macoilin (Transmembrane protein 57) (Fragment),Maco1 Tmem57,Mus musculus (Mouse),257
Q3TF72,Q3TF72_MOUSE,unreviewed,Protein disulfide-isomerase (EC 5.3.4.1),P4hb,Mus musculus (Mouse),509
A2AN99,A2AN99_MOUSE,unreviewed,Protein transport protein SEC23 (Fragment),Sec23b,Mus musculus (Mouse),138
E0CZ10,E0CZ10_MOUSE,unreviewed,Mannosyltransferase (EC 2.4.1.-) (Fragment),Alg9,Mus musculus (Mouse),228
Q3TGS0,Q3TGS0_MOUSE,unreviewed,Protein disulfide-isomerase (EC 5.3.4.1),P4hb,Mus musculus (Mouse),509
Q3TJL8,Q3TJL8_MOUSE,unreviewed,Uncharacterized protein,Pdia6,Mus musculus (Mouse),445
Q3UNX7,Q3UNX7_MOUSE,unreviewed,Dimethylaniline monooxygenase [N-oxide-forming] 1 (EC 1.14.13.8) (Dimethylaniline oxidase 1) (Fragment),Fmo1,Mus musculus (Mouse),303
A0A286YCT4,A0A286YCT4_MOUSE,unreviewed,Signal sequence receptor subunit alpha (Translocon-associated protein subunit alpha),Ssr1,Mus musculus (Mouse),298
Q6PET3,Q6PET3_MOUSE,unreviewed,Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89) (Fragment),Sec11a Sec11l1,Mus musculus (Mouse),275
Q542A1,Q542A1_MOUSE,unreviewed,B-cell receptor-associated protein (BCR-associated protein),Bcap29,Mus musculus (Mouse),240
Q1XID4,Q1XID4_MOUSE,unreviewed,ATPase H(+)-transporting lysosomal accessory protein 2 (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin receptor) (Renin/prorenin receptor),Atp6ap2,Mus musculus (Mouse),350
Q80YA4,Q80YA4_MOUSE,unreviewed,Macoilin (Transmembrane protein 57) (Fragment),Maco1 Tmem57,Mus musculus (Mouse),550
Q3TKF8,Q3TKF8_MOUSE,unreviewed,78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),Hspa5,Mus musculus (Mouse),655
O70366,O70366_MOUSE,unreviewed,Cellular tumor antigen p53,Trp53,Mus musculus (Mouse),390
E9Q2G2,E9Q2G2_MOUSE,unreviewed,Clusterin (Clusterin alpha chain) (Clusterin beta chain) (Fragment),Clu,Mus musculus (Mouse),209
D3Z5F9,D3Z5F9_MOUSE,unreviewed,Protein YIF1B (Fragment),Yif1b,Mus musculus (Mouse),272
Q8BMR3,Q8BMR3_MOUSE,unreviewed,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,Rpn1,Mus musculus (Mouse),608
B7ZJH7,B7ZJH7_MOUSE,unreviewed,Sigma 1-type opioid receptor (Sigma non-opioid intracellular receptor 1),Sigmar1 Oprs1,Mus musculus (Mouse),185
Q9DC94,Q9DC94_MOUSE,unreviewed,Signal sequence receptor subunit delta (Translocon-associated protein subunit delta),Ssr4,Mus musculus (Mouse),173
Q3V4A5,Q3V4A5_MOUSE,unreviewed,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134) (Fragment),Hacd1 Ptpla,Mus musculus (Mouse),199
Q3UBW8,Q3UBW8_MOUSE,unreviewed,Uncharacterized protein,Txndc5,Mus musculus (Mouse),417
Q3V440,Q3V440_MOUSE,unreviewed,Transmembrane emp24 domain-containing protein 5,Tmed5,Mus musculus (Mouse),100
E9Q2J2,E9Q2J2_MOUSE,unreviewed,Transmembrane emp24 domain-containing protein 5,Tmed5,Mus musculus (Mouse),126
Q6KAM4,Q6KAM4_MOUSE,unreviewed,"Endoplasmic reticulum membrane sensor NFE2L1 (Nuclear factor erythroid 2-related factor 1) (Nuclear factor, erythroid derived 2, like 1) (Transcription factor NRF1) (Fragment)",Nfe2l1 mFLJ00380,Mus musculus (Mouse),767
D3Z6D3,D3Z6D3_MOUSE,unreviewed,USE1-like protein (Vesicle transport protein USE1) (Fragment),Use1,Mus musculus (Mouse),74
F2Z470,F2Z470_MOUSE,unreviewed,3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),Hmgcr,Mus musculus (Mouse),819
E9PXX7,E9PXX7_MOUSE,unreviewed,Thioredoxin domain-containing protein 5,Txndc5,Mus musculus (Mouse),344
A0A140LIK0,A0A140LIK0_MOUSE,unreviewed,Microsomal signal peptidase 25 kDa subunit (Signal peptidase complex subunit 2),Spcs2,Mus musculus (Mouse),177
A0A0A6YXB7,A0A0A6YXB7_MOUSE,unreviewed,Translocon-associated protein subunit beta (TRAP-beta) (Signal sequence receptor subunit beta),Ssr2,Mus musculus (Mouse),185
Q8BV96,Q8BV96_MOUSE,unreviewed,3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34) (Fragment),Hmgcr,Mus musculus (Mouse),336
A0A087WQP7,A0A087WQP7_MOUSE,unreviewed,Insulin-induced gene protein,Insig2,Mus musculus (Mouse),117
Q8CDS4,Q8CDS4_MOUSE,unreviewed,Protein transport protein SEC23,Sec23b,Mus musculus (Mouse),615
A2AN97,A2AN97_MOUSE,unreviewed,Protein transport protein SEC23 (Fragment),Sec23b,Mus musculus (Mouse),58
Q3T9C7,Q3T9C7_MOUSE,unreviewed,Uncharacterized protein,Extl1,Mus musculus (Mouse),669
Q9D941,Q9D941_MOUSE,unreviewed,GOLD domain-containing protein,Tmed11,Mus musculus (Mouse),215
A0A0G2JE46,A0A0G2JE46_MOUSE,unreviewed,HCLS1-associated protein X-1 (HS1-associating protein X-1),Hax1,Mus musculus (Mouse),196
Q5RKP4,Q5RKP4_MOUSE,unreviewed,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Fragment),Rpn1,Mus musculus (Mouse),607
E9Q8G8,E9Q8G8_MOUSE,unreviewed,Protein disulfide-isomerase,P4hb,Mus musculus (Mouse),165
H3BJQ0,H3BJQ0_MOUSE,unreviewed,Ceramide synthase 5,Cers5 Lass5,Mus musculus (Mouse),251
Q80YG4,Q80YG4_MOUSE,unreviewed,SEC63,Sec63,Mus musculus (Mouse),760
Q8BH80,Q8BH80_MOUSE,unreviewed,"Vesicle-associated membrane protein, associated protein B and C (Vesicle-associated membrane protein-associated protein B)",Vapb,Mus musculus (Mouse),243
A0A1B0GQW0,A0A1B0GQW0_MOUSE,unreviewed,ER lumen protein-retaining receptor,Kdelr1,Mus musculus (Mouse),150
A0A1B0GRQ1,A0A1B0GRQ1_MOUSE,unreviewed,Erlin-2 (Fragment),Erlin2,Mus musculus (Mouse),159
A2AMS0,A2AMS0_MOUSE,unreviewed,Sigma 1-type opioid receptor (Sigma non-opioid intracellular receptor 1),Sigmar1 Oprs1,Mus musculus (Mouse),192
A8C1W9,A8C1W9_MOUSE,unreviewed,Signal sequence receptor subunit alpha (Translocon-associated protein subunit alpha) (Fragment),Ssr1,Mus musculus (Mouse),105
Q3UFQ0,Q3UFQ0_MOUSE,unreviewed,Uncharacterized protein,Ext2,Mus musculus (Mouse),701
V9GZG5,V9GZG5_MOUSE,unreviewed,Palmitoyltransferase GLUL (EC 2.3.1.225),,Mus musculus (Mouse),371
F7AQQ2,F7AQQ2_MOUSE,unreviewed,Endoplasmic reticulum lectin 1 (Fragment),Erlec1,Mus musculus (Mouse),80
Q6IM74,Q6IM74_MOUSE,unreviewed,Reticulon,Rtn2,Mus musculus (Mouse),204
A2BDY0,A2BDY0_MOUSE,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",Alg6,Mus musculus (Mouse),204
A0A0R4J0D1,A0A0R4J0D1_MOUSE,unreviewed,Store-operated calcium entry-associated regulatory factor (Transmembrane protein 66),Saraf,Mus musculus (Mouse),363
A2RS96,A2RS96_MOUSE,unreviewed,Transmembrane emp24 domain-containing protein 5,Tmed5,Mus musculus (Mouse),229
A0A158SIS7,A0A158SIS7_MOUSE,unreviewed,Cellular tumor antigen p53,Trp53 RP23-56I20.1-001,Mus musculus (Mouse),387
Q8C116,Q8C116_MOUSE,unreviewed,Dimethylaniline monooxygenase [N-oxide-forming] (EC 1.14.13.8),Fmo9,Mus musculus (Mouse),539
A0A338P6K1,A0A338P6K1_MOUSE,unreviewed,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase)",Alg3,Mus musculus (Mouse),134
B7ZJH8,B7ZJH8_MOUSE,unreviewed,Sigma 1-type opioid receptor (Sigma non-opioid intracellular receptor 1),Sigmar1 Oprs1,Mus musculus (Mouse),114
A0A0R4J1F2,A0A0R4J1F2_MOUSE,unreviewed,Presenilin (EC 3.4.23.-),Psen2,Mus musculus (Mouse),447
A0A1W2P738,A0A1W2P738_MOUSE,unreviewed,Predicted gene 6993,Gm6993,Mus musculus (Mouse),69
D3Z0T2,D3Z0T2_MOUSE,unreviewed,Dimethylaniline monooxygenase [N-oxide-forming] 1 (EC 1.14.13.8) (Dimethylaniline oxidase 1) (Fragment),Fmo1,Mus musculus (Mouse),221
S4R2A9,S4R2A9_MOUSE,unreviewed,Protein transport protein Sec31A (Fragment),Sec31a,Mus musculus (Mouse),934
H9KV08,H9KV08_MOUSE,unreviewed,Polyprenol reductase (EC 1.3.1.22) (EC 1.3.1.94) (Fragment),Srd5a3,Mus musculus (Mouse),74
E0CZE6,E0CZE6_MOUSE,unreviewed,Macoilin (Transmembrane protein 57),Maco1,Mus musculus (Mouse),106
Q8C795,Q8C795_MOUSE,unreviewed,Sterol O-acyltransferase (EC 2.3.1.26) (Fragment),Soat1,Mus musculus (Mouse),462
Q3T9P8,Q3T9P8_MOUSE,unreviewed,Lipase maturation factor,Lmf1 Tmem112,Mus musculus (Mouse),296
Q3TXE5,Q3TXE5_MOUSE,unreviewed,Uncharacterized protein,Canx,Mus musculus (Mouse),591
A0A1W2P6N3,A0A1W2P6N3_MOUSE,unreviewed,GTP-binding protein SAR1a (Fragment),Sar1a,Mus musculus (Mouse),131
G5CPP0,G5CPP0_MOUSE,unreviewed,Calreticulin,Calr4,Mus musculus (Mouse),439
Q3V3K6,Q3V3K6_MOUSE,unreviewed,Uncharacterized protein,Pigs,Mus musculus (Mouse),555
D3YVY7,D3YVY7_MOUSE,unreviewed,Hyaluronidase (EC 3.2.1.35) (Fragment),Hyal3,Mus musculus (Mouse),328
Q8CJG2,Q8CJG2_MOUSE,unreviewed,IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1 (KQT-like 1) (Potassium voltage-gated channel subfamily KQT member 1) (Voltage-gated potassium channel subunit Kv7.1),Kcnq1 KCNQ1b,Mus musculus (Mouse),440
H3BL50,H3BL50_MOUSE,unreviewed,Ceramide synthase 4,Cers4 Lass4,Mus musculus (Mouse),211
A0A286YCQ7,A0A286YCQ7_MOUSE,unreviewed,Farnesylated proteins-converting enzyme 2 (Fragment),Rce1,Mus musculus (Mouse),230
A0A494BBC6,A0A494BBC6_MOUSE,unreviewed,Acyl-CoA (8-3)-desaturase,Fads1,Mus musculus (Mouse),410
Q3TIS3,Q3TIS3_MOUSE,unreviewed,Protein transport protein SEC23,Sec23b,Mus musculus (Mouse),767
E0CZ00,E0CZ00_MOUSE,unreviewed,Insulin-induced gene 2 protein (Fragment),Insig2,Mus musculus (Mouse),59
Q3UBY9,Q3UBY9_MOUSE,unreviewed,Protein disulfide-isomerase (EC 5.3.4.1),P4hb,Mus musculus (Mouse),509
Q5SVW9,Q5SVW9_MOUSE,unreviewed,Transmembrane emp24 domain-containing protein 4 (Fragment),Tmed4,Mus musculus (Mouse),170
Q542Q0,Q542Q0_MOUSE,unreviewed,Peptidylprolyl isomerase (EC 5.2.1.8),Fkbp14,Mus musculus (Mouse),211
Q3TRA1,Q3TRA1_MOUSE,unreviewed,Dimethylaniline monooxygenase [N-oxide-forming] 5 (EC 1.14.13.8) (EC 1.6.3.1) (Dimethylaniline oxidase 5) (Flavin-containing monooxygenase 5) (NAPDH oxidase) (Fragment),Fmo5,Mus musculus (Mouse),252
A0A087WNN8,A0A087WNN8_MOUSE,unreviewed,Sterol O-acyltransferase 1 (Fragment),Soat1,Mus musculus (Mouse),220
Q3UNJ3,Q3UNJ3_MOUSE,unreviewed,Peptidylprolyl isomerase (EC 5.2.1.8),Fkbp10,Mus musculus (Mouse),580
Q8VCE7,Q8VCE7_MOUSE,unreviewed,Transmembrane emp24 domain-containing protein 5,Tmed5,Mus musculus (Mouse),229
A0A0A6YVZ1,A0A0A6YVZ1_MOUSE,unreviewed,Translocon-associated protein subunit beta,Ssr2,Mus musculus (Mouse),164
A0A2I3BPM1,A0A2I3BPM1_MOUSE,unreviewed,ERO1-like protein alpha (Fragment),Ero1a Ero1l,Mus musculus (Mouse),229
A2ATT9,A2ATT9_MOUSE,unreviewed,Protein transport protein Sec61 subunit alpha isoform 2,Sec61a2,Mus musculus (Mouse),175
E9Q7B0,E9Q7B0_MOUSE,unreviewed,Procollagen-proline 4-dioxygenase (EC 1.14.11.2),P4ha1,Mus musculus (Mouse),454
D3YVR4,D3YVR4_MOUSE,unreviewed,LDLR chaperone MESD (LRP chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein) (Fragment),Mesd Mesdc2,Mus musculus (Mouse),154
G3UWR0,G3UWR0_MOUSE,unreviewed,Calumenin,Calu,Mus musculus (Mouse),227
Q80XK8,Q80XK8_MOUSE,unreviewed,Nbas protein (Fragment),Nbas,Mus musculus (Mouse),1709
G3UY49,G3UY49_MOUSE,unreviewed,Calumenin (Fragment),Calu,Mus musculus (Mouse),141
A0A338P6Q6,A0A338P6Q6_MOUSE,unreviewed,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase)",Alg3,Mus musculus (Mouse),266
F6Q2Y9,F6Q2Y9_MOUSE,unreviewed,Protein transport protein sec16 (Fragment),Sec16b,Mus musculus (Mouse),699
H3BL08,H3BL08_MOUSE,unreviewed,Ceramide synthase 6,Cers6 Lass6,Mus musculus (Mouse),392
A0A0R4J2D2,A0A0R4J2D2_MOUSE,unreviewed,Extracellular sulfatase Sulf-1,Sulf1,Mus musculus (Mouse),862
A2BDX8,A2BDX8_MOUSE,unreviewed,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-) (Fragment)",Alg6,Mus musculus (Mouse),158
E0CXS5,E0CXS5_MOUSE,unreviewed,Insulin-induced gene 2 protein (Fragment),Insig2,Mus musculus (Mouse),90
Q9D6F7,Q9D6F7_MOUSE,unreviewed,Signal sequence receptor subunit delta (Translocon-associated protein subunit delta),Ssr4,Mus musculus (Mouse),172
B9EHY2,B9EHY2_MOUSE,unreviewed,CAAX prenyl protease (EC 3.4.24.84),Zmpste24,Mus musculus (Mouse),475
Q8VCA2,Q8VCA2_MOUSE,unreviewed,Mannosyltransferase (EC 2.4.1.-),Alg12,Mus musculus (Mouse),385
Q3U8D5,Q3U8D5_MOUSE,unreviewed,Uncharacterized protein (Fragment),Ext2,Mus musculus (Mouse),690
Q3T9H9,Q3T9H9_MOUSE,unreviewed,Uncharacterized protein,Fads3,Mus musculus (Mouse),449
A0A338P6Y8,A0A338P6Y8_MOUSE,unreviewed,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase)",Alg3,Mus musculus (Mouse),364
D3Z6W2,D3Z6W2_MOUSE,unreviewed,Tyrosine-protein phosphatase non-receptor type (EC 3.1.3.48),Ptpn2,Mus musculus (Mouse),363
Q3UV32,Q3UV32_MOUSE,unreviewed,Low-density lipoprotein receptor relative with 11 ligand-binding repeats (Sortilin-related receptor) (Sorting protein-related receptor containing LDLR class A repeats) (Fragment),Sorl1,Mus musculus (Mouse),1037
Q6NTH7,Q6NTH7_MOUSE,unreviewed,Apoptosis regulator Bcl-2,Bcl2,Mus musculus (Mouse),199
A0A0A6YVQ7,A0A0A6YVQ7_MOUSE,unreviewed,Protein transport protein Sec61 subunit alpha isoform 2 (Fragment),Sec61a2,Mus musculus (Mouse),120
Q3U900,Q3U900_MOUSE,unreviewed,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,Rpn1,Mus musculus (Mouse),608
F6YC79,F6YC79_MOUSE,unreviewed,Lipase maturation factor,Lmf1,Mus musculus (Mouse),512
A6PW84,A6PW84_MOUSE,unreviewed,Procollagen-proline 3-dioxygenase (EC 1.14.11.7),P3h1,Mus musculus (Mouse),746
A2AN98,A2AN98_MOUSE,unreviewed,Protein transport protein SEC23 (Fragment),Sec23b,Mus musculus (Mouse),122
Q52PE3,Q52PE3_MOUSE,unreviewed,Signal sequence receptor subunit alpha (Translocon-associated protein subunit alpha),Ssr1 Trap-alpha,Mus musculus (Mouse),298
Q3UCZ5,Q3UCZ5_MOUSE,unreviewed,Tyrosine-protein phosphatase non-receptor type (EC 3.1.3.48),Ptpn1,Mus musculus (Mouse),432
A0A0M3HEP8,A0A0M3HEP8_MOUSE,unreviewed,Vitamin-K-epoxide reductase (warfarin-sensitive) (EC 1.17.4.4),Vkorc1l1,Mus musculus (Mouse),130
Q3UV28,Q3UV28_MOUSE,unreviewed,Dimethylaniline monooxygenase [N-oxide-forming] 5 (EC 1.14.13.8) (EC 1.6.3.1) (Dimethylaniline oxidase 5) (Flavin-containing monooxygenase 5) (NAPDH oxidase) (Fragment),Fmo5,Mus musculus (Mouse),335
A0A494BA71,A0A494BA71_MOUSE,unreviewed,Protein YIF1A,Yif1a,Mus musculus (Mouse),130
Q3TTT2,Q3TTT2_MOUSE,unreviewed,Procollagen-proline 4-dioxygenase (EC 1.14.11.2),P4ha1,Mus musculus (Mouse),454
Q4V9U8,Q4V9U8_MOUSE,unreviewed,N-acetylglucosaminylphosphatidylinositol deacetylase (EC 3.5.1.89),Pigl,Mus musculus (Mouse),82
Q6PB59,Q6PB59_MOUSE,unreviewed,3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34) (Fragment),Hmgcr,Mus musculus (Mouse),497
Q6P1H4,Q6P1H4_MOUSE,unreviewed,Exostoses (Multiple)-like 3 (Exostosin-like 3),Extl3,Mus musculus (Mouse),919
Q3U957,Q3U957_MOUSE,unreviewed,Derlin,Derl2,Mus musculus (Mouse),165
D3Z1Y1,D3Z1Y1_MOUSE,unreviewed,RING-type E3 ubiquitin transferase (EC 2.3.2.27),Syvn1,Mus musculus (Mouse),608
E9PWK1,E9PWK1_MOUSE,unreviewed,Epoxide hydrolase (EC 3.3.2.9),Ephx1,Mus musculus (Mouse),441
E0CXW3,E0CXW3_MOUSE,unreviewed,Dolichol phosphate-mannose biosynthesis regulatory protein,Dpm2,Mus musculus (Mouse),114
Q6ZPV3,Q6ZPV3_MOUSE,unreviewed,MKIAA1247 protein (Fragment),Sulf2 mKIAA1247,Mus musculus (Mouse),948
W5VJU6,W5VJU6_MOUSE,unreviewed,Cellular tumor antigen p53,Trp53,Mus musculus (Mouse),342
Q8BSX8,Q8BSX8_MOUSE,unreviewed,Ceramide transfer protein (Collagen type IV alpha-3-binding protein),Cert1 Col4a3bp,Mus musculus (Mouse),598
Q3TMD2,Q3TMD2_MOUSE,unreviewed,Collagen-binding protein (Serpin H1),Serpinh1,Mus musculus (Mouse),417
F8WHL1,F8WHL1_MOUSE,unreviewed,Solute carrier family 30 member 9 (Zinc transporter 9),Slc30a9,Mus musculus (Mouse),547
A0A1B0GRG7,A0A1B0GRG7_MOUSE,unreviewed,Erlin-2 (Fragment),Erlin2,Mus musculus (Mouse),85
Q8BVU9,Q8BVU9_MOUSE,unreviewed,Collagen-binding protein (Serpin H1),Serpinh1,Mus musculus (Mouse),417
Q3U1K2,Q3U1K2_MOUSE,unreviewed,Calcium pump 3 (EC 7.2.2.10) (Sarcoplasmic/endoplasmic reticulum calcium ATPase 3) (Fragment),Atp2a3,Mus musculus (Mouse),999
A0A338P7A4,A0A338P7A4_MOUSE,unreviewed,Melanocortin-2 receptor accessory protein,Mrap,Mus musculus (Mouse),44
